epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,564.19,0.98179,1.10136,1.01706,0.93244,0.75,0.96282,0.59882,1.27661,2.30293,1.03578,0.00099314,0.00099314,0.00099314
44,577.073,1.05597,1.24201,1.08198,1,0.45858,0.97515,0.57821,1.31206,2.52808,1.05824,0.000999282,0.000999282,0.000999282
45,590.145,1.09286,1.174,1.0402,1,0.45858,0.97515,0.57821,1.31206,2.52808,1.05824,0.00100463,0.00100463,0.00100463
46,602.949,0.98365,1.19254,0.99962,0.3593,0.82143,0.60501,0.35524,1.33608,2.81664,1.08624,0.00100919,0.00100919,0.00100919
47,615.817,1.07224,1.25867,1.05507,0.3593,0.82143,0.60501,0.35524,1.33608,2.81664,1.08624,0.00101296,0.00101296,0.00101296
48,628.624,1.21095,1.40243,1.04634,1,0.71304,0.99259,0.66461,1.18185,2.37771,0.99967,0.00101593,0.00101593,0.00101593
49,641.606,1.03269,1.1706,1.02176,1,0.71304,0.99259,0.66461,1.18185,2.37771,0.99967,0.00101811,0.00101811,0.00101811
50,654.693,1.01577,1.13863,0.97843,0.98713,1,0.995,0.7689,0.90914,1.56298,0.94263,0.0010195,0.0010195,0.0010195
51,667.585,0.92743,1.01817,0.97751,0.98713,1,0.995,0.7689,0.90914,1.56298,0.94263,0.00101,0.00101,0.00101
52,680.503,1.03656,1.04565,1.04735,0.99321,1,0.995,0.7818,0.84855,1.29194,0.93822,0.0009902,0.0009902,0.0009902
53,693.407,0.93663,1.16787,1.007,0.99321,1,0.995,0.7818,0.84855,1.29194,0.93822,0.0009704,0.0009704,0.0009704
54,706.265,0.9564,1.24768,1.00566,0.98873,1,0.995,0.74675,0.97624,1.36053,0.94043,0.0009506,0.0009506,0.0009506
55,719.273,0.91093,1.1059,0.98071,0.98873,1,0.995,0.74675,0.97624,1.36053,0.94043,0.0009308,0.0009308,0.0009308
56,732.082,0.87795,1.05601,0.97321,0.96454,0.97168,0.99155,0.6703,1.20797,1.61974,0.9617,0.000911,0.000911,0.000911
57,744.862,0.98919,1.02427,1.01575,0.96454,0.97168,0.99155,0.6703,1.20797,1.61974,0.9617,0.0008912,0.0008912,0.0008912
58,757.71,0.92142,1.07835,0.95696,0.94833,0.92857,0.98663,0.67806,1.14432,1.77653,0.9466,0.0008714,0.0008714,0.0008714
59,770.58,0.88922,1.05157,0.96327,0.94833,0.92857,0.98663,0.67806,1.14432,1.77653,0.9466,0.0008516,0.0008516,0.0008516
60,783.614,0.93785,1.16704,1.00387,0.96448,1,0.99397,0.75356,0.92358,1.72145,0.92029,0.0008318,0.0008318,0.0008318
61,796.494,0.91124,1.00464,0.9475,0.96448,1,0.99397,0.75356,0.92358,1.72145,0.92029,0.000812,0.000812,0.000812
62,809.417,0.92993,0.99452,1.007,1,0.99616,0.995,0.7866,0.8823,1.55275,0.93343,0.0007922,0.0007922,0.0007922
63,822.243,0.89637,0.93256,0.95023,1,0.99616,0.995,0.7866,0.8823,1.55275,0.93343,0.0007724,0.0007724,0.0007724
64,835.084,0.898,0.93634,1.02775,0.99257,1,0.995,0.80101,0.82147,1.21228,0.8933,0.0007526,0.0007526,0.0007526
65,848.572,0.86686,0.92262,0.98193,0.99257,1,0.995,0.80101,0.82147,1.21228,0.8933,0.0007328,0.0007328,0.0007328
66,861.44,0.922,0.8893,0.97808,0.99654,1,0.995,0.78905,0.82176,0.9818,0.87279,0.000713,0.000713,0.000713
67,874.143,0.8322,0.92755,0.95336,0.99654,1,0.995,0.78905,0.82176,0.9818,0.87279,0.0006932,0.0006932,0.0006932
68,886.986,0.7513,0.91587,0.94514,0.99755,1,0.995,0.80837,0.81171,0.89684,0.89405,0.0006734,0.0006734,0.0006734
69,899.778,0.92221,0.87803,0.95864,0.99755,1,0.995,0.80837,0.81171,0.89684,0.89405,0.0006536,0.0006536,0.0006536
70,912.641,0.80396,0.83634,0.93131,0.9977,1,0.995,0.77317,0.89623,0.882,0.90928,0.0006338,0.0006338,0.0006338
71,925.658,0.92009,0.88332,0.96427,0.9977,1,0.995,0.77317,0.89623,0.882,0.90928,0.000614,0.000614,0.000614
72,938.509,0.9421,0.92716,0.96338,0.9978,1,0.995,0.78985,0.85602,0.87257,0.91162,0.0005942,0.0005942,0.0005942
73,951.77,0.82359,0.93913,0.92663,0.9978,1,0.995,0.78985,0.85602,0.87257,0.91162,0.0005744,0.0005744,0.0005744
74,964.336,0.7929,0.89972,0.96134,0.99742,1,0.995,0.77159,0.85826,0.90586,0.90099,0.0005546,0.0005546,0.0005546
75,977.017,0.77914,0.94558,0.93453,0.99742,1,0.995,0.77159,0.85826,0.90586,0.90099,0.0005348,0.0005348,0.0005348
76,989.97,0.81277,0.88127,0.91355,0.99763,1,0.995,0.80533,0.84106,0.94261,0.89507,0.000515,0.000515,0.000515
77,1002.76,0.81509,0.92014,0.93636,0.99763,1,0.995,0.80533,0.84106,0.94261,0.89507,0.0004952,0.0004952,0.0004952
