epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,529.161,0.64331,1.18891,0.93366,0.89743,0.59132,0.81586,0.6965,0.61492,2.22179,0.81738,0.000326791,0.000326791,0.000326791
43,541.5,0.59955,1.04304,0.92878,0.90983,0.57271,0.81469,0.68771,0.62933,2.22157,0.81915,0.000332682,0.000332682,0.000332682
44,553.945,0.58757,0.99207,0.8997,0.92363,0.59332,0.80132,0.66943,0.64263,2.15261,0.82041,0.000338475,0.000338475,0.000338475
45,566.572,0.56708,0.93985,0.88902,0.90572,0.58683,0.7716,0.62632,0.68243,2.11902,0.82672,0.000344168,0.000344168,0.000344168
46,579.212,0.59345,0.88919,0.88863,0.94871,0.70418,0.84503,0.6896,0.68545,2.02639,0.82234,0.000349763,0.000349763,0.000349763
47,591.65,0.5963,0.94464,0.91196,0.97939,0.77246,0.85969,0.71972,0.62499,1.94688,0.80933,0.000355258,0.000355258,0.000355258
48,604.104,0.58329,0.83383,0.88787,0.98879,0.80712,0.86557,0.75065,0.58966,1.89145,0.80326,0.000360655,0.000360655,0.000360655
49,616.54,0.58471,0.8872,0.87254,0.98456,0.79528,0.87692,0.76063,0.5782,1.86973,0.80327,0.000365952,0.000365952,0.000365952
50,629.136,0.56919,0.89244,0.89687,0.97641,0.79337,0.89876,0.77233,0.58626,1.8492,0.80296,0.000371151,0.000371151,0.000371151
51,641.616,0.5983,0.87311,0.88879,0.97641,0.79337,0.89876,0.77233,0.58626,1.8492,0.80296,0.00037625,0.00037625,0.00037625
52,654.215,0.59203,0.87206,0.88838,0.97966,0.79778,0.91147,0.7802,0.58889,1.82036,0.80212,0.000381251,0.000381251,0.000381251
53,666.704,0.5428,0.74224,0.86745,0.97966,0.79778,0.91147,0.7802,0.58889,1.82036,0.80212,0.000386152,0.000386152,0.000386152
54,679.258,0.58994,0.81344,0.8851,0.98392,0.82852,0.90171,0.77006,0.57681,1.81605,0.79945,0.000390955,0.000390955,0.000390955
55,691.795,0.58314,0.79685,0.87977,0.98392,0.82852,0.90171,0.77006,0.57681,1.81605,0.79945,0.000395658,0.000395658,0.000395658
56,704.379,0.56172,0.76027,0.8768,0.98627,0.8229,0.89778,0.77432,0.56762,1.84628,0.79901,0.000400263,0.000400263,0.000400263
57,716.823,0.60207,0.79033,0.87214,0.98627,0.8229,0.89778,0.77432,0.56762,1.84628,0.79901,0.000404768,0.000404768,0.000404768
58,729.301,0.59391,0.76233,0.88852,0.98867,0.82741,0.91501,0.79004,0.57317,1.83115,0.80469,0.000409175,0.000409175,0.000409175
59,741.712,0.56167,0.77501,0.90478,0.98867,0.82741,0.91501,0.79004,0.57317,1.83115,0.80469,0.000413482,0.000413482,0.000413482
60,754.147,0.55441,0.76452,0.88818,0.98463,0.83333,0.98116,0.84366,0.60804,1.69964,0.80715,0.000417691,0.000417691,0.000417691
61,766.759,0.54582,0.72543,0.88417,0.98463,0.83333,0.98116,0.84366,0.60804,1.69964,0.80715,0.0004218,0.0004218,0.0004218
62,779.225,0.52869,0.71583,0.87552,0.97987,0.83333,0.99284,0.8594,0.58699,1.55592,0.80458,0.000425811,0.000425811,0.000425811
63,791.847,0.54952,0.71996,0.85791,0.97987,0.83333,0.99284,0.8594,0.58699,1.55592,0.80458,0.000429722,0.000429722,0.000429722
64,804.331,0.58218,0.71585,0.85743,0.98259,0.84128,0.995,0.87447,0.5387,1.44967,0.80316,0.000433535,0.000433535,0.000433535
65,816.938,0.57261,0.74985,0.87758,0.98259,0.84128,0.995,0.87447,0.5387,1.44967,0.80316,0.000437248,0.000437248,0.000437248
66,829.522,0.5215,0.67951,0.86037,0.98218,0.83538,0.995,0.87454,0.51108,1.4571,0.79907,0.000440863,0.000440863,0.000440863
67,842.061,0.52089,0.67372,0.88051,0.98218,0.83538,0.995,0.87454,0.51108,1.4571,0.79907,0.000444378,0.000444378,0.000444378
68,854.552,0.54596,0.69611,0.86771,0.98204,0.80821,0.995,0.88014,0.52106,1.50036,0.80026,0.000447795,0.000447795,0.000447795
69,867.021,0.55257,0.69717,0.88706,0.98204,0.80821,0.995,0.88014,0.52106,1.50036,0.80026,0.000451112,0.000451112,0.000451112
70,879.486,0.54283,0.66312,0.87099,0.98219,0.81188,0.995,0.86298,0.55674,1.48686,0.80647,0.000454331,0.000454331,0.000454331
71,891.821,0.52875,0.66505,0.87026,0.98219,0.81188,0.995,0.86298,0.55674,1.48686,0.80647,0.00045745,0.00045745,0.00045745
72,904.583,0.56495,0.74021,0.89427,0.98232,0.8746,0.995,0.85548,0.57339,1.41264,0.8062,0.000460471,0.000460471,0.000460471
73,917.049,0.54052,0.69594,0.87563,0.98232,0.8746,0.995,0.85548,0.57339,1.41264,0.8062,0.000463392,0.000463392,0.000463392
74,929.676,0.55883,0.69173,0.83787,0.98104,0.94342,0.995,0.8523,0.57095,1.30895,0.80475,0.000466215,0.000466215,0.000466215
75,942.584,0.50847,0.6261,0.87488,0.98104,0.94342,0.995,0.8523,0.57095,1.30895,0.80475,0.000468938,0.000468938,0.000468938
76,955.584,0.53139,0.61489,0.87582,0.98062,0.95209,0.995,0.86125,0.55812,1.25942,0.80493,0.000471563,0.000471563,0.000471563
77,968.68,0.52062,0.6235,0.85103,0.98062,0.95209,0.995,0.86125,0.55812,1.25942,0.80493,0.000474088,0.000474088,0.000474088
78,981.643,0.52782,0.67305,0.87452,0.98127,0.97206,0.995,0.87231,0.52421,1.25361,0.8058,0.000476514,0.000476514,0.000476514
79,994.128,0.5462,0.64833,0.87496,0.98127,0.97206,0.995,0.87231,0.52421,1.25361,0.8058,0.000478842,0.000478842,0.000478842
80,1006.72,0.55157,0.63289,0.86747,0.98324,0.96906,0.995,0.87419,0.53644,1.30298,0.8188,0.000481071,0.000481071,0.000481071
