epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,717.991,1.36203,3.31268,0.9002,0.0628,0.69458,0.11194,0.07005,1.20419,3.90646,0.90093,0.000138575,0.000138575,0.000138575
46,733.242,1.34371,3.2307,0.91079,0.10556,0.72089,0.14026,0.09455,1.19134,3.86314,0.89943,0.000141417,0.000141417,0.000141417
47,748.557,1.39118,3.22779,0.89867,0.07664,0.7333,0.13611,0.08738,1.16443,3.82883,0.89423,0.000144246,0.000144246,0.000144246
48,763.822,1.43624,3.15867,0.90458,0.07779,0.7499,0.14556,0.08961,1.14648,3.79914,0.8902,0.00014706,0.00014706,0.00014706
49,778.934,1.35331,3.0666,0.89875,0.07767,0.783,0.15838,0.10077,1.13127,3.75463,0.88624,0.000149861,0.000149861,0.000149861
50,794.162,1.31076,3.02967,0.90529,0.0804,0.81892,0.17247,0.11112,1.12498,3.71795,0.88305,0.000152649,0.000152649,0.000152649
51,809.408,1.36175,2.97382,0.89373,0.0804,0.81892,0.17247,0.11112,1.12498,3.71795,0.88305,0.000155422,0.000155422,0.000155422
52,824.705,1.39436,3.06538,0.89096,0.08173,0.8534,0.18959,0.1237,1.10827,3.68022,0.88136,0.000158183,0.000158183,0.000158183
53,839.981,1.24519,2.83759,0.88704,0.08173,0.8534,0.18959,0.1237,1.10827,3.68022,0.88136,0.000160929,0.000160929,0.000160929
54,854.993,1.23509,2.8536,0.90085,0.08344,0.87837,0.20933,0.13657,1.10005,3.6538,0.88248,0.000163662,0.000163662,0.000163662
55,870.032,1.25067,2.8286,0.8984,0.08344,0.87837,0.20933,0.13657,1.10005,3.6538,0.88248,0.000166381,0.000166381,0.000166381
56,885.366,1.29658,2.80706,0.89383,0.08504,0.89493,0.22484,0.14625,1.12905,3.643,0.88925,0.000169086,0.000169086,0.000169086
57,900.58,1.3396,2.79113,0.88936,0.08504,0.89493,0.22484,0.14625,1.12905,3.643,0.88925,0.000171778,0.000171778,0.000171778
58,916.036,1.32588,2.86751,0.88919,0.08705,0.91567,0.24628,0.15821,1.14158,3.63224,0.89342,0.000174456,0.000174456,0.000174456
59,931.527,1.29828,2.81283,0.89255,0.08705,0.91567,0.24628,0.15821,1.14158,3.63224,0.89342,0.000177121,0.000177121,0.000177121
60,946.916,1.33716,2.82429,0.88674,0.08705,0.9199,0.27005,0.17305,1.13811,3.6263,0.89371,0.000179771,0.000179771,0.000179771
61,962.333,1.36648,2.69505,0.89353,0.08705,0.9199,0.27005,0.17305,1.13811,3.6263,0.89371,0.000182408,0.000182408,0.000182408
62,977.691,1.35796,2.74533,0.89407,0.08888,0.92404,0.29263,0.18845,1.11879,3.61592,0.8923,0.000185032,0.000185032,0.000185032
63,993.339,1.29697,2.69657,0.87671,0.08888,0.92404,0.29263,0.18845,1.11879,3.61592,0.8923,0.000187642,0.000187642,0.000187642
64,1008.8,1.18087,2.59472,0.88556,0.08805,0.93655,0.32164,0.20771,1.09887,3.57907,0.88836,0.000190238,0.000190238,0.000190238
65,1024.16,1.28502,2.664,0.88819,0.08805,0.93655,0.32164,0.20771,1.09887,3.57907,0.88836,0.00019282,0.00019282,0.00019282
66,1039.99,1.27958,2.62705,0.89426,0.08718,0.95172,0.34273,0.22807,1.0744,3.52096,0.88387,0.000195389,0.000195389,0.000195389
67,1055.48,1.28798,2.49818,0.87456,0.08718,0.95172,0.34273,0.22807,1.0744,3.52096,0.88387,0.000197944,0.000197944,0.000197944
68,1070.96,1.23025,2.54929,0.88393,0.08664,0.96,0.36172,0.24019,1.06656,3.46687,0.88148,0.000200486,0.000200486,0.000200486
69,1086.42,1.25404,2.41769,0.88679,0.08664,0.96,0.36172,0.24019,1.06656,3.46687,0.88148,0.000203013,0.000203013,0.000203013
70,1101.86,1.3138,2.55157,0.88065,0.08659,0.96552,0.37549,0.24778,1.0786,3.44707,0.88294,0.000205528,0.000205528,0.000205528
71,1117.24,1.35516,2.56935,0.89723,0.08659,0.96552,0.37549,0.24778,1.0786,3.44707,0.88294,0.000208028,0.000208028,0.000208028
72,1132.83,1.30101,2.44727,0.87937,0.08677,0.97241,0.39896,0.2546,1.09428,3.4209,0.88557,0.000210515,0.000210515,0.000210515
73,1148.24,1.30328,2.41094,0.87168,0.08677,0.97241,0.39896,0.2546,1.09428,3.4209,0.88557,0.000212988,0.000212988,0.000212988
74,1163.6,1.26995,2.36061,0.88459,0.08679,0.98069,0.42016,0.26762,1.09303,3.38598,0.88595,0.000215448,0.000215448,0.000215448
75,1178.96,1.24645,2.30486,0.88255,0.08679,0.98069,0.42016,0.26762,1.09303,3.38598,0.88595,0.000217893,0.000217893,0.000217893
76,1194.58,1.22765,2.30341,0.88066,0.08666,0.97931,0.43061,0.27985,1.0818,3.35833,0.88498,0.000220326,0.000220326,0.000220326
77,1210.11,1.20936,2.27558,0.88938,0.08666,0.97931,0.43061,0.27985,1.0818,3.35833,0.88498,0.000222744,0.000222744,0.000222744
78,1225.67,1.19467,2.24288,0.88613,0.08726,0.98345,0.43568,0.28728,1.09302,3.3543,0.88616,0.000225149,0.000225149,0.000225149
79,1241.14,1.21386,2.14966,0.87389,0.08726,0.98345,0.43568,0.28728,1.09302,3.3543,0.88616,0.00022754,0.00022754,0.00022754
80,1256.73,1.28994,2.20685,0.89167,0.08898,0.98759,0.43131,0.27732,1.13288,3.38824,0.89383,0.000229918,0.000229918,0.000229918
81,1272.18,1.22946,2.15402,0.87826,0.08898,0.98759,0.43131,0.27732,1.13288,3.38824,0.89383,0.000232282,0.000232282,0.000232282
82,1287.62,1.18751,2.05638,0.8741,0.09035,0.98478,0.4214,0.27099,1.1475,3.41334,0.89773,0.000234632,0.000234632,0.000234632
83,1303.06,1.20496,2.08456,0.87692,0.09035,0.98478,0.4214,0.27099,1.1475,3.41334,0.89773,0.000236968,0.000236968,0.000236968
